WORD TO SEARCH,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
decorum,72700,2500,500
keenest,67100,2300,600
originate,11200,1000,1000
harshly,54500,3000,1000
strange,76900,3300,1100
listen,71000,900,900
treasure,52500,1700,1400
fall,80600,2800,400
borrow,67500,3400,700
pale,51700,2100,1100
retailing,38000,1900,900
spite,73300,3100,1000
Attendance,62900,1900,400
contrived,72600,2100,800
easiness,76200,2000,600
fun,59200,1200,700
rely,25700,1200,1300
development,38200,1700,900
selves,27800,2200,1000
trembled,25400,1500,1000
following,81400,2400,400
withdrew,77500,3200,600
trimming,78600,2900,400
restoration,67600,1400,700
Barnet,26400,1200,900
gay,33400,1700,800
artful,58300,2400,600
run,65700,1200,600
harmony,51800,2600,1000
importune,66400,1600,700
chamber,54300,1500,600
36,41800,1400,1100
loss,65600,3200,1300
ungovernable,7300,400,1200
substantial,65100,2900,900
financial,1900,300,800
risk,61200,2600,700
arts,67300,1900,400
criticise,73300,3200,500
representing,46300,1600,1300
parents,62200,2200,1200
profuse,70900,1500,700
sustained,29900,1000,700
persisted,61200,1600,700
peaches,27700,1000,700
silliest,72800,1500,900
intellectual,5700,600,1100
driving,68800,2400,500
qualities,79900,2800,700
employ,70700,2800,600
reliance,77500,3300,800
heard,94500,1600,600
charities,900,300,700
84116,800,300,600
science,75300,2000,800
spread,60500,3200,900
hack,73100,2200,600
ceased,62700,2400,500
ordered,70700,2900,500
mild,58000,1300,900
perseverance,59900,1800,900
unjustly,40500,2400,800
amusements,65700,2200,400
lead,66300,1100,900
advertised,10400,500,600
cases,79500,3300,400
sheet,60100,1800,600
impatience,63900,1800,600
inconvenience,66500,3400,600
Presuming,42200,1300,400
marked,63900,1200,800
ugly,39100,900,1000
comfortable,65100,3900,600
triumphantly,62000,2800,1000
vow,15000,1300,1400
rapidly,69600,3400,800
succeeding,46900,3100,3000
gbnewby,1100,700,1100
sound,75200,2200,1000
improprieties,36100,2300,1100
superciliousness,69900,2400,900
days,79000,3200,500
safety,24400,1100,900
serious,74900,1900,1100
stamp,76700,3300,900
unusual,8000,500,1100
polluted,9000,800,1100
interruption,61900,2300,1000
sudden,72100,1200,600
short,77400,1900,600
included,89300,2400,300
subjects,75200,2700,800
Pulvis,19400,1400,600
Mary,78000,3700,500
possessor,71500,1400,600
mortified,76500,2300,800
grave,73000,3100,600
ever,76800,1700,600
unprincipled,64000,2600,1100
occasioned,71000,3300,1100
grapes,30100,600,1300
owes,71000,3100,1300
defied,100000,4700,900
natural,108600,5900,600
My,111600,3900,500
openness,99300,5000,500
comfort,90000,3200,900
come,99400,4500,500
had,120200,3700,700
virtue,110400,4000,1000
calmness,73700,3700,500
Madam,73300,2900,600
rejoice,53500,1800,1500
realised,35800,1100,900
independent,63000,1700,900
brink,31200,1300,900
wisher,70500,1500,600
augment,37300,1900,700
stumbling,39100,1200,2000
eminent,76300,2200,500
welfare,40000,2100,900
pretence,46600,1800,1300
carriage,82600,2100,500
letting,57000,2700,1500
conveyed,69700,3200,700
deserving,65100,3100,800
loudly,69100,3400,900
disadvantages,41000,1200,800
promote,71900,3300,800
purposely,67400,3700,1200
expedient,63600,2800,900
roses,66000,2300,800
remained,82900,3700,500
travelling,53400,2400,1400
When,81900,1800,400
me,79800,2000,600
miserably,27500,1100,800
gulf,18700,1100,900
defined,42800,1700,900
know,80900,3500,500
forego,25800,1000,900
personal,66700,1700,600
authorized,76900,3300,400
constancy,11500,200,800
seasonable,60200,3700,800
anxiously,27800,900,500
rational,72400,2600,500
I,76400,2400,400
pitiful,75000,1600,500
accede,47000,1400,700
irrevocably,10300,600,1000
warned,58700,2000,700
behalf,67300,2600,600
position,64600,1700,900
went,65700,1800,700
darting,27900,900,800
condescends,66900,1900,1000
extinguished,45600,1900,800
misleads,68500,1700,600
consists,65300,2500,600
middle,57200,2600,800
too,78400,4000,900
hot,65700,1800,900
revenging,46100,1600,1000
seldom,62700,2300,1000
recovered,74000,1600,800
Pursuing,47900,900,500
email,1200,200,700
INDEMNITY,1800,300,900
hundred,87700,3300,800
difficulty,63900,4200,800
beloved,63200,1100,700
probity,65700,3100,1300
assemblies,86900,17100,600
exertion,119600,1600,900
suppress,39100,1800,1100
temper,85100,2600,900
words,76500,1700,700
victory,74100,4200,600
imperfectly,28900,1700,900
susceptibility,24100,1500,1000
speaker,68200,1700,700
forgive,80200,3100,600
paperwork,800,300,1500
profligacy,43200,2000,1400
unworthily,64500,3200,800
acquired,80300,1900,500
censure,74500,1700,500
silent,75900,1500,1200
31,51100,2400,500
47,24900,900,800
according,70500,2600,400
heal,66800,2400,1100
recollection,66400,1700,1000
42,34200,1800,500
conscientiously,64900,3400,600
obeyed,46000,1400,700
advised,117900,2400,600
lodgings,77400,1800,900
led,64600,1400,1400
unabashed,18400,400,900
local,47900,1900,1000
thwarted,62000,2700,1300
checking,37500,2100,1000
angry,86600,3800,300
defiance,46600,2500,700
Mississippi,1700,500,800
gentleman,79300,1800,700
present,80000,900,800
happiness,75600,3500,800
witty,37800,800,800
supplying,53800,2600,1700
brightening,27500,1000,900
admires,62800,3200,700
nose,27600,1200,900
beauty,89000,3500,400
connect,22600,1200,800
holder,5000,400,1100
bound,66700,2000,1100
finds,53200,2100,800
excellent,83800,2800,700
retaliate,52600,2500,900
precipitate,66700,3300,900
approbation,68800,1800,600
patroness,69100,3400,900
injurious,37700,2600,1600
hardest,70700,3800,700
atone,43000,1100,600
works,6700,600,1000
die,75800,3800,800
quite,80800,2000,500
liberally,46300,2600,1000
answerable,65300,1600,400
Redistributing,6100,500,700
discourage,65700,3100,700
kill,17300,600,1100
understanding,73700,2800,500
smile,70000,3700,1000
tears,48200,2200,1300
possibilities,67800,1500,600
persuasion,72700,1100,600
remove,72000,2200,1000
triumph,75000,1200,800
Epsom,26900,700,400
inconsistencies,63900,2400,700
Miss,75300,2500,400
designed,47700,2100,800
fitted,66900,2100,800
personages,10700,1200,900
down,75800,2300,400
slightest,41700,1900,800
cutting,19900,900,700
idea,72800,2500,700
wives,71500,3000,600
asking,77700,2300,500
answering,76100,2300,400
impatient,74700,900,600
impressing,46600,1700,800
intently,72600,4300,1100
querulous,34200,900,1100
steward,65400,1400,900
shades,11500,500,1100
size,64100,2700,500
fidgety,20600,600,800
now,73500,3000,500
induce,44400,900,1000
pleasantly,75800,3700,600
resides,68700,2400,800
players,66200,2500,600
statement,61100,1400,1000
differ,74000,2600,700
these,79100,3000,600
rich,72500,2300,400
principal,79900,2300,400
Salt,1200,300,600
fill,68900,1300,400
resolute,68400,3200,600
clue,22000,1000,1000
direction,54300,1700,1100
agreeing,73100,2500,400
courses,80700,3000,400
effectually,16500,600,1100
studious,67800,1400,900
bitterest,22200,1100,800
moved,71300,1700,700
gloried,30800,1500,1000
conquer,48000,1600,800
insignificant,52300,1900,1100
Morris,82000,2000,400
am,75200,2000,300
mistaken,77900,2000,600
likeness,64600,2500,600
Spanish,28500,1200,500
judgment,10900,600,1000
reproofs,26400,700,1200
idleness,44100,800,900
save,74700,1300,800
pain,67300,1200,700
delicacy,68800,2100,600
mayoralty,76200,3300,400
prospects,61700,1400,800
welcomed,70400,2600,700
instinctively,45000,1500,900
files,6800,300,800
tumult,76800,1300,400
supplied,74600,1800,800
said,78300,3400,300
branch,77400,2000,500
girls,91000,2000,400
satisfying,24800,600,900
harp,64900,1800,700
hair,67600,1300,400
hasten,59600,1700,600
scope,61100,2300,700
indirectly,2100,400,1300
exchanged,23900,900,800
blameless,40700,700,700
separately,48600,1100,1100
knew,73600,2300,600
affinity,70300,1300,500
offered,73200,1600,500
curtsey,41400,1900,800
his,72800,3800,500
rocks,54300,2800,800
forget,78000,1300,400
opposite,68500,1100,600
acknowledgment,66200,1200,400
implicit,63400,2500,600
horrid,75900,2400,600
earth,11100,500,800
dispirited,18300,1000,1000
without,75500,2800,500
depending,56500,2900,800
powers,67800,1900,600
adriana,81600,3300,400
expose,67100,1200,700
resolved,71100,1400,600
International,600,200,600
gig,49600,2000,700
needed,58700,2800,800
incomprehensible,39400,1500,600
complaisant,63000,1600,700
morning,78600,1200,500
tendency,67900,1200,800
thought,77000,1600,500
brain,33100,600,700
forbid,62500,1000,500
lamentations,35000,1300,900
59,8700,300,1100
steadfast,45900,2700,900
tongues,61200,1900,700
unfortunately,66600,2900,700
felt,71900,2000,500
brow,26800,1100,900
learning,26500,700,1000
consign,62200,1500,400
bedrooms,31000,1200,600
prompt,64600,2000,700
contemplation,61800,1700,400
revolt,15300,400,1000
thirdly,58800,2800,500
poetry,69000,2200,500
premeditation,12500,1100,800
losses,59900,2700,700
addressed,77400,1700,300
inviting,74900,1800,500
bent,60300,1100,600
fireplace,68000,2300,500
redistribute,4600,300,1000
civilities,62100,1500,700
exclaim,36400,800,800
connection,73600,1300,900
lips,74300,1300,700
ensued,69400,1300,500
illiberal,33900,700,800
mixture,79900,1500,500
sisters,80100,1300,400
cambric,19900,500,400
ventured,57400,1300,900
shocking,76300,2500,500
objections,47700,700,700
spoke,75400,3000,600
supplication,15300,600,800
intrusion,61900,2100,800
flying,77200,2000,400
reserve,90600,2300,600
simpers,15500,800,800
gravely,71700,3300,500
condescension,62700,1700,700
panegyric,102300,3100,600
ease,71600,3600,500
speedily,60100,2600,1300
ecstasy,63500,3100,400
overbearing,9000,300,700
24,54300,1000,500
herself,79500,2000,800
conceited,74900,2600,500
perusal,47500,2600,1200
hurts,59600,2000,700
gaily,66400,1400,500
affections,56900,3100,600
reject,66300,3100,1000
nothings,65700,1700,600
unalloyed,46100,1000,900
prefer,70500,2400,600
censuring,74600,2200,500
refuge,19300,900,800
uproar,57900,900,600
firm,64500,1600,600
keeping,60700,1100,600
natured,61200,1400,1000
escaped,71600,1400,500
blinds,37400,700,800
two,70900,2600,500
heartening,21900,900,1200
tent,32200,2700,1600
efforts,60800,1600,500
proudest,76700,2800,700
sleeping,23700,900,800
unpleasing,26100,700,1700
venture,78200,4000,400
construed,30000,1500,500
infinitely,67200,2400,700
hundreds,1800,300,1000
readily,71000,3700,600
gracefully,62900,2400,600
seconding,65500,1000,800
hours,71400,1700,600
agreement,67500,1000,400
liking,58400,2100,800
quarters,64900,2500,800
swell,70800,1800,600
placed,74500,2300,700
trunks,39100,1500,1000
wears,37900,800,800
destroyed,63400,1700,700
Commerce,73700,1900,400
intervene,14800,500,1200
sharing,61600,1300,800
happily,78300,3800,500
inhabitants,70800,2500,600
prepared,66600,1400,700
brother,77600,1300,600
conjecturing,70700,1200,400
charm,66800,2000,600
enjoyments,33300,900,600
yours,72000,1900,600
regulate,64700,3500,800
taken,77600,1100,400
snug,37100,1100,600
invariable,56500,1400,800
Darcy,74300,1200,400
mouth,28900,700,800
anticipation,31800,1000,600
oddly,64500,2400,600
moments,68500,1000,600
granted,1600,200,1200
paragraphs,4100,300,1600
chance,75600,3000,400
prettier,74900,900,500
perverse,58800,1800,700
presumption,24000,1200,800
boisterously,56500,1400,600
eagerly,73700,1500,400
intervals,66900,1400,700
class,62300,1400,600
mix,7300,200,900
weight,65500,900,500
frisks,23600,600,700
derived,62200,2400,900
moreover,65200,1000,500
varieties,24500,700,900
apparent,67100,1200,400
rejoicing,66300,1700,500
arranging,64100,1400,400
reasonable,53800,1400,700
quarter,67100,1200,600
determining,70000,3200,600
congratulatory,6800,400,900
nothingness,63700,1400,500
carpets,31600,600,700
persuade,76900,1400,400
painter,67200,2300,600
meditate,52400,2300,900
several,74900,1400,600
ago,75000,1200,600
overpowering,54300,1100,900
feature,69900,1400,500
sources,23700,500,1000
exigence,23700,1400,1000
condole,20400,500,700
forfeit,52900,1900,700
nobody,71600,3200,400
state,61000,1400,900
identification,1500,200,700
kindest,23900,500,900
bowing,49300,1400,800
late,63700,1200,600
plantation,42200,800,1000
preparing,64900,1400,500
inclined,108000,1600,400
indulgence,63600,1200,600
re,68500,2300,300
persists,57900,900,600
forth,56000,1400,500
mortifications,9100,800,700
distressed,54700,1500,800
circumstances,57900,1300,600
arise,61000,2800,400
engaging,57000,2800,600
intruder,67400,1000,500
winking,12500,400,800
invention,8800,500,1100
employing,21600,400,600
shameful,65000,1700,700
built,50200,900,900
quick,73700,1400,300
25,54100,1200,500
humbling,42500,1800,1000
am,67500,1700,200
recalled,39800,1900,800
upstart,11000,400,600
inspection,25600,600,1100
crossed,55700,2300,400
papa,35600,1600,800
confide,15300,500,1300
swamp,400,300,1000
think,69800,1400,500
succeeds,66600,2700,700
courtier,56300,1900,600
rude,54800,2900,600
wholly,66300,2000,600
prodigious,45100,1000,1100
rise,41300,800,600
triumphant,28300,600,800
appeals,28600,500,700
passing,71400,1000,500
nice,59300,1200,400
mature,56300,1200,500
Pride,73900,1500,200
poultry,49700,700,600
tell,71600,1200,500
minute,61400,1100,500
enraged,12900,1200,500
appeased,7500,600,600
deceive,49700,1300,700
enjoying,58600,1000,500
sings,29200,500,700
nonproprietary,4300,300,500
filling,6100,200,700
vent,51200,1700,600
united,69600,1200,400
diffidence,57800,1900,600
speeches,58500,1400,900
likelihood,58000,2800,700
moment,73100,800,500
extravagant,33500,500,600
worthless,67800,1600,500
promise,71100,2400,500
sharp,33900,1000,700
score,67800,1500,700
wavering,10200,300,700
requirements,3400,500,1000
ground,52700,1700,600
accuracy,64800,1100,400
provoked,59900,1400,800
simple,28400,600,700
eleven,15700,300,1100
obstacles,41900,1400,700
broken,55800,700,500
decline,74900,1500,300
Clarke,67600,1100,400
painful,61500,2000,600
renewing,38900,700,1000
separation,100600,2400,900
brightened,65500,1400,600
resentments,58600,2500,600
managed,16200,500,1000
replacement,3400,300,1200
inheriting,58000,1000,800
bride,55000,1600,600
enjoy,69900,1300,400
rendering,53900,900,800
ante,48900,1000,600
closely,26100,600,600
argued,64700,1400,400
toilette,50400,1400,600
educated,71500,3700,500
falls,57400,2600,500
fifty,48100,800,700
consequences,15000,500,700
cheerfully,50400,1400,600
terrific,22000,400,400
appeal,57700,1900,500
spending,71400,2100,600
minutely,49500,1200,800
condescended,59300,1100,700
furnish,69100,1100,500
misunderstood,26900,500,700
circuit,28200,1600,700
trusted,62200,2300,600
comprehended,32400,700,1000
became,60400,900,400
wounded,55900,2100,500
attacks,57700,1200,400
Eastbourne,19400,400,500
widow,59800,3400,400
complaints,65100,1200,500
screens,107700,1600,600
milliner,71200,1700,400
proprietor,60900,1600,800
silly,74000,1600,400
assuring,74800,1300,400
opposed,69200,1900,600
unknown,68900,2000,400
faithfully,15700,400,800
informality,56000,1100,700
crayons,29400,1000,1000
replied,75800,1100,200
folios,61600,1700,500
fixing,69200,1100,300
bottle,69300,2100,500
avoid,68200,2000,300
viewing,63500,1300,500
strongly,70700,2500,600
gratification,58100,1300,600
declares,57700,1500,500
early,70200,1300,500
assent,66400,900,400
recommended,62800,2700,500
revolving,10400,500,800
uniformly,55100,1300,700
acrimony,26400,600,600
chances,60200,1400,400
get,67600,1200,500
amusement,72900,2200,300
books,71400,1600,400
doubtingly,8200,400,1000
first,71900,1300,400
parted,67400,1200,600
imaginations,50500,1000,700
illiterate,61500,2000,600
poor,70400,900,400
rough,28000,1600,800
enduring,71200,1400,400
terms,73500,1800,300
pleasures,51500,1200,500
sweetest,66200,2300,500
learnt,71700,1100,600
hire,59800,1100,500
hug,60000,3200,700
can,68100,1100,300
describe,68400,1500,400
here,71400,1300,400
deepest,29200,1100,700
head,66000,1000,400
DISCLAIMER,3400,200,600
godfather,59500,700,400
devoted,61200,1400,500
fairly,19800,500,800
remaining,62200,3000,700
solemnity,62500,1600,500
eat,64400,2900,500
report,72700,700,400
officious,45400,900,600
scold,47600,1000,800
donations,4000,500,1100
Irish,65100,1300,400
Elizabeth,72500,1400,300
digressions,60600,1100,500
refuse,108600,1300,500
discerning,26900,700,1000
timed,58300,900,700
preference,71300,1800,500
levelled,13300,300,1000
console,70400,1300,500
possessing,46800,1100,800
colds,64000,1100,600
un,61700,1700,500
dirt,62900,1200,600
histories,34700,800,600
Literary,4900,300,500
keep,65900,2300,300
break,56900,1000,600
abusive,34200,700,700
implies,8700,400,900
receiving,57000,1300,500
proficient,47600,900,1100
Kent,59200,700,400
referred,38600,1000,600
discussion,55100,1100,800
Bourgh,61300,1100,400
envying,55200,900,500
pretend,73900,1200,300
taller,64500,1200,600
noise,65000,1300,500
offence,55500,900,600
plans,58200,1200,600
admirable,55500,1000,500
hired,13600,500,800
daughters,69100,1000,300
attached,59800,900,500
heinous,19600,500,900
passed,67900,1000,400
parts,111000,1700,600
non,1700,200,700
inevitable,54500,1300,800
attributing,53000,900,500
corporation,1500,200,400
recede,9600,300,800
vindication,30100,700,700
delivered,56000,1500,700
griefs,57600,1800,500
laughingly,61600,1100,600
service,65300,2200,600
grain,14600,400,800
restrained,50900,1000,600
narrowest,27700,1100,1000
suppose,69100,800,700
retrospective,22600,500,700
unsuccessfully,11600,300,700
John,32400,500,500
transcription,3400,400,1000
separating,47000,1000,900
busily,21100,500,700
fashionable,61800,1300,500
Breakfast,67400,1000,500
mortifies,12300,300,700
about,68000,1100,300
asperity,61400,1200,500
soliciting,57600,1400,600
rang,54700,800,700
Warwick,30100,700,700
retirement,59400,600,400
governed,44000,800,600
awaited,55800,600,400
gravity,59200,1200,600
mingling,60700,1200,500
fairest,57800,1400,500
shown,63900,800,600
symmetry,67200,1500,400
repelled,8400,300,1100
promoting,3800,200,700
destined,55000,2400,500
comforts,58700,1100,600
wise,59700,1000,800
smart,64500,900,500
supposition,60300,700,800
Harriet,35100,700,600
fail,54600,1000,600
bringing,54600,1000,600
misunderstand,58400,800,500
original,63100,1000,400
www,67200,1100,400
amounting,14700,300,600
strictest,57100,1100,600
body,15400,300,800
gain,47300,700,800
ascended,48700,1100,700
noon,50300,700,600
lovely,60000,1100,500
accusation,40000,800,600
mortal,16900,400,600
injustice,62200,1400,700
disarm,62900,1400,700
airs,63500,1300,400
allayed,34000,1000,600
marrying,72800,3000,400
domain,5900,200,500
courtship,53100,900,600
partial,68700,1800,700
professing,45600,800,1000
bright,57500,800,600
affronted,36700,700,400
unreserved,67700,1200,400
firmness,55200,1300,500
resented,63400,1600,700
regular,57200,900,800
believing,59100,1300,600
sincere,59500,1100,600
remind,52900,700,800
properly,60900,1200,500
carelessness,59500,1500,600
prettiest,68000,900,500
circulation,65700,1000,400
unaffected,68100,1000,500
recall,59700,700,500
avarice,51500,700,500
beauties,65300,1800,500
heart,69100,800,600
evenings,67700,1800,600
progress,63600,1200,700
guardianship,43200,1000,700
not,68300,1600,400
humiliating,53700,1600,800
win,58700,600,500
protested,69100,1800,400
effort,62200,700,400
traces,22500,500,900
catching,69100,1100,400
glance,60200,1100,300
precious,23800,700,700
successively,16700,500,900
respectable,62100,1400,500
charged,55600,800,500
gradual,7800,200,700
display,65600,1200,600
scrutiny,41100,800,700
ten,64700,900,600
elope,15700,300,900
elevate,60000,2500,400
conditionally,55000,900,700
characters,99400,1400,500
folly,58900,1200,500
occupation,59000,700,400
economically,22000,1600,700
are,65400,1400,300
furniture,61500,1400,500
discover,67900,1400,500
economy,56900,1700,500
vague,34100,1200,700
beauteous,31900,700,600
3,63200,1100,300
scores,32000,700,900
uncommon,62800,600,600
caused,15900,300,700
hotel,51800,1100,700
hat,65500,900,600
trying,59400,2500,700
postponed,16800,500,1100
decent,16300,300,900
dialogue,77000,1200,500
pin,7400,200,600
rightful,70400,1800,300
tenants,59700,1000,700
severe,67200,1100,600
white,60800,1300,500
overlook,30900,900,900
introducing,54000,1000,600
gates,41100,1000,1000
gaze,44200,1100,500
extorted,34200,500,700
extenuating,52700,1200,600
since,70300,1100,400
embarrassed,55200,1100,500
distributed,4500,300,800
fancy,65500,1400,500
vacancy,12700,900,600
created,65500,1200,500
dislike,70800,1000,600
grew,64600,1400,500
contents,64600,1200,500
February,52000,1300,700
industriously,10700,400,1100
person,67200,800,400
uniting,6400,400,500
53,11200,300,600
commanded,52000,1100,700
laconic,62500,1100,400
modern,64500,1100,600
tedious,63100,2300,500
uncles,64700,1400,500
bidding,52000,900,500
emotions,54800,800,500
regretted,15800,300,1000
using,53800,1100,600
praised,63100,1000,500
nominally,60500,1000,500
generous,60600,1000,600
injuries,32500,600,1200
eligible,59400,1300,600
army,28200,700,600
twenty,71700,1500,300
already,71900,1000,200
imaginable,62600,1300,600
venting,24900,800,700
street,59000,1100,700
hopeless,56200,1300,600
elapsed,54900,1100,500
worn,57800,14200,8200
diversified,50800,1200,700
Implacable,61200,1400,300
aloud,64100,800,300
agitation,49100,1700,400
event,67500,800,400
volatility,32100,600,500
bribe,14000,300,1000
colder,42000,500,800
graces,59200,1200,400
hushed,9000,300,700
payment,13400,200,700
irreligious,34000,700,500
denied,54900,1000,400
horses,64900,2200,500
detained,56300,800,600
merits,28200,900,1100
depart,56100,800,400
sanction,12800,300,900
mince,59800,1100,500
good,109600,1000,300
meat,60700,600,1000
broke,30700,700,700
counted,13400,600,500
accosted,63100,1000,400
temptation,57000,2100,600
unprotected,22100,300,800
generality,48500,800,700
guard,65400,900,400
commercial,5500,200,900
Posting,72100,1700,200
hating,65500,1200,500
vexations,31900,700,800
horrible,23300,600,600
thankful,61900,900,400
incessantly,56400,1500,400
equally,71800,1200,400
knowing,64800,900,400
wide,83600,1500,400
trusting,76900,2100,500
distance,66100,1000,500
Lodge,66400,1200,300
arriving,49800,800,600
shrink,16700,400,900
elopement,36600,500,600
txt,6100,200,900
urgent,34000,400,500
pedantic,66500,1400,300
presence,61700,900,500
manage,57800,1700,400
Remember,66600,700,300
accessible,800,200,800
never,68800,2000,400
eldest,70100,1200,400
patched,10400,300,500
52,11400,200,500
friendless,18400,600,800
swallowed,21800,500,700
clearing,17500,500,900
breeding,67800,800,400
heartily,64500,900,500
knees,23400,300,600
allowed,68400,1500,200
measure,59700,900,500
suspense,56200,1600,500
prosperity,59300,1300,500
fact,65400,1300,400
assured,65200,900,400
tete,62700,1000,300
gathered,58400,1000,300
accurate,50300,1700,400
commissioning,34600,1000,700
eye,63800,700,500
stables,28200,600,900
entreaty,57500,1200,700
kinder,42500,500,600
imaginary,67500,1200,500
its,65500,900,400
instead,71400,1500,400
town,66700,900,400
neighbour,69700,1400,400
unmarked,8000,300,800
double,52100,1300,500
wander,27400,400,600
defects,67700,1700,500
unnatural,44000,700,500
dispose,22200,300,900
older,45600,1300,400
injure,24500,500,1000
riding,58200,1100,400
touched,61300,2200,400
promised,71700,2500,300
Richard,62200,1200,200
deservedly,51800,1200,600
drawing,64800,1200,300
straws,34700,800,800
caught,66400,700,300
shire,58300,1400,400
studied,36800,800,800
cast,59700,1200,400
precipitance,59200,1200,400
govern,4700,200,700
watering,28500,600,500
guidance,60200,1300,400
bequest,59400,1000,400
38,35200,600,1200
sent,61300,700,600
disservice,55800,1200,600
circumspect,52800,700,400
clearly,54100,1400,500
in,95100,1200,400
lagged,20700,400,600
sedate,27000,200,600
consult,58600,1000,300
afterwards,67900,1400,300
them,68900,1600,300
undeserving,32700,600,800
despair,55500,600,700
off,63700,900,300
death,57600,600,300
quieted,70900,1200,400
farthing,18400,400,800
vicinity,6100,300,500
slit,15800,400,800
master,59400,1100,400
stopping,49100,800,700
behaved,41900,900,700
arrangements,16000,300,800
51,13200,200,400
requesting,51400,2300,600
Fitzwilliam,74800,1000,300
company,89300,1500,400
correct,60000,1400,300
communicativeness,27400,1100,700
dictated,17800,300,800
wilderness,9700,400,400
imputed,61200,1000,400
new,64800,2200,500
resume,59800,900,400
substance,31900,400,700
Mr,65800,700,300
gaudy,28600,600,500
pitied,55000,900,600
birds,15400,200,700
overcoming,39500,1300,700
alleviate,19700,500,800
fault,65000,700,400
dispatched,67900,1000,500
wilful,56600,1500,400
retail,60100,900,400
effusions,65700,1300,400
receive,67500,1400,400
Christian,9200,200,600
petulance,22100,500,700
suit,60700,900,600
tranquil,54700,1600,700
ankle,67400,1500,200
nectarines,24700,600,800
she,65800,1300,300
inmates,59300,1300,600
conciliate,41800,900,900
diverted,33000,1100,600
blasted,41000,500,600
distinguish,45900,700,500
course,66600,2300,400
uncontrolled,31200,500,900
volume,61500,1200,400
limited,3400,100,600
alighted,26300,400,1900
successfully,51800,900,800
solaced,65100,1600,300
embarrassment,53500,1300,500
hastening,57000,900,600
negative,56100,1100,600
agitated,42900,700,500
resisted,59300,900,600
Maria,67700,900,400
disclaimed,53800,1000,700
know,69300,2200,400
periodic,3800,300,800
remedy,34800,800,700
once,66000,1100,300
duration,42900,500,700
foresaw,53000,1000,500
heightened,54700,900,700
great,69100,1000,300
emotion,44000,1200,600
wisest,61500,1300,500
wish,66800,1000,300
improves,31500,1200,800
weep,30200,500,600
blessed,57600,800,500
rites,59900,1700,400
formerly,68400,900,400
curiosities,19400,400,500
postilions,18200,400,800
traced,56200,1000,500
despicably,37100,1100,700
changes,13100,300,600
computer,2800,100,600
unavailing,49400,1000,700
modified,5500,200,500
introduction,62600,800,500
delicate,64300,2500,400
absurd,59900,600,300
ensuring,1600,300,400
and,66400,900,100
willingness,31800,500,600
misery,57100,1000,600
account,73100,900,300
44,25700,300,500
cessation,59700,1000,300
avoidance,25700,400,700
survey,10700,400,700
day,62700,1200,300
bye,58500,1100,200
seeming,67800,1000,500
lottery,60100,1000,600
latest,13500,300,900
families,69800,1300,300
expend,3400,200,900
contains,53900,800,400
enlarging,30700,600,500
wondered,61200,900,400
confidently,16500,500,800
subsisting,59200,1600,600
persisting,9900,300,500
Phillips,64000,1100,400
disrespect,57600,1400,600
employment,57800,2100,400
wearisome,12400,200,900
animal,60200,800,300
sphere,10400,200,500
sort,58400,800,600
passages,55300,1200,500
really,71000,2100,300
standing,70000,1000,400
approached,57100,1100,400
cheering,59500,1200,400
somehow,68800,1700,400
separate,43900,800,800
repined,32900,500,800
arising,68000,1200,300
northwards,29800,500,400
having,69800,1000,400
wonders,76700,800,500
softness,62900,800,400
explained,61800,1000,600
intimates,19800,400,900
unsolicited,500,200,600
providing,56600,1000,700
guests,56100,900,400
bewitching,56800,1400,400
St,62300,1100,300
despicable,62800,1700,500
amazes,59900,1000,300
War,29400,400,500
neat,48900,800,900
reach,59800,800,400
given,67200,1000,400
lingering,37900,600,700
conscience,56300,1000,600
faithful,66200,1300,500
shelves,61200,900,400
misfortune,65600,1100,400
inspired,41800,600,1100
rob,29000,700,800
unattended,25500,400,600
scorn,9900,200,1000
puffed,57900,1100,500
ancient,10600,300,300
mantelpiece,53800,800,400
Sermons,60700,900,300
accordingly,43700,1000,400
duties,56300,800,300
rode,66800,1300,400
possessed,25300,300,700
listening,66700,900,400
disgraced,58800,800,600
English,74100,1900,200
week,69000,1400,400
humoured,72400,1300,400
punish,61600,1000,600
plainer,56300,800,600
hesitation,48800,600,800
costs,3100,200,600
force,56700,800,400
downs,67200,900,300
abode,58800,800,300
witticisms,62300,1100,400
earthly,32100,700,500
music,62000,1200,500
fields,49400,1100,600
regimentals,62300,1600,600
additional,22700,400,700
satisfied,66600,1300,600
scrupulous,69100,1500,300
Anne,58000,1400,300
deductible,1200,200,500
uneasiness,59400,1300,500
handsomer,69400,900,500
Hunsford,61400,700,300
each,63900,1100,200
act,65100,1000,400
audience,56500,900,400
fewer,53300,700,400
thanking,55000,900,400
Colonel,67900,900,300
Miller,32900,500,600
saved,43300,700,700
harboured,34800,600,600
grieve,35300,800,800
belonging,20500,400,600
indolence,20000,400,700
unfolded,65900,1300,300
stratagems,15100,400,800
disk,2900,100,700
interference,51300,900,800
intentionally,80700,1200,700
suddenly,87500,1300,300
detest,69400,1200,400
forlorn,14000,200,600
second,68100,1200,400
sends,7000,200,600
promotion,1400,200,700
phrase,2900,200,800
archly,62300,1100,300
quietly,57000,1400,400
epithet,7900,200,700
parental,56900,900,600
consulted,18000,300,500
alternate,18800,600,400
compared,69300,1000,400
dying,64000,900,300
shooting,7800,200,600
