WORD TO SEARCH,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
manor,65900,800,600
killed,21900,900,600
invite,60000,1700,500
follows,69200,3000,400
third,69000,800,800
imperturbably,56000,1100,600
eagerness,54400,2600,600
dated,41500,1700,600
woods,30000,600,700
under,72800,1700,200
involves,21500,2000,900
Thoughtless,23000,600,700
amidst,50300,1000,700
duel,21800,21900,700
perforce,66000,17400,700
advisable,65600,3200,500
soon,70700,1900,400
commonest,61000,1300,600
gaming,19700,1200,600
fundraising,1300,500,600
belief,52700,1700,500
retains,11300,400,700
endurable,56300,1400,500
eyelashes,63400,1400,400
smoothly,53000,1000,700
rectory,63500,2300,600
supercilious,64400,2100,600
feet,55000,1900,400
me,67700,1100,500
experience,72500,2900,400
exclusion,67900,1000,900
Darcy,93400,3100,400
ordination,103900,1800,600
deserts,89500,1800,500
disregarded,58900,3100,700
spot,59700,2300,600
represented,59600,2200,700
fate,69300,1300,700
horsewoman,104300,1700,900
concept,5900,400,900
benefit,86900,2800,600
giddiness,56500,2200,500
recollect,77400,2700,800
States,6100,300,700
York,53800,2400,400
January,65300,1600,500
risen,70200,900,500
amount,70200,1800,300
eluded,72500,2600,300
fingering,47000,1000,600
sentence,57000,1100,900
sallied,48200,900,800
charge,46900,2200,700
generation,68200,1300,500
alterations,59800,1900,500
selfishness,54200,2100,600
tenderly,63500,3100,1300
brothers,89400,16200,600
moderate,22400,700,1100
unlucky,73300,1300,500
angel,68200,1500,300
uncertainty,14500,1100,700
French,10300,700,600
online,70800,1800,200
quitting,69800,2400,500
inexhaustible,53100,1900,900
reserved,69700,1700,500
Matlock,30900,900,600
surrounded,53400,2300,700
upper,70200,800,500
glowing,67600,3200,400
stating,48400,2700,1000
quiet,49800,1800,600
mischievously,27300,18600,1000
elated,69300,2900,400
brevity,25900,600,800
tractable,45200,3000,900
mildness,58000,2500,600
16,58200,700,600
qualification,56700,1400,1000
seated,65500,3200,700
temptations,33000,1900,1000
summer,60500,1800,1000
endured,60400,1200,400
troublesome,54800,3500,700
remainder,73300,1800,700
occasions,94600,1800,800
Esq,28600,800,700
plenty,44900,2100,900
more,73200,3000,400
omen,7600,500,700
cheeks,41200,1200,800
labour,34500,900,800
32,45500,1200,600
DEAREST,68600,2100,500
vexed,69500,1600,600
ungraciousness,12800,1100,1000
trespass,62700,3500,700
until,59500,2800,500
10,60800,2700,300
modification,1900,300,700
opportunity,64300,2100,400
anybody,71900,3100,400
minded,60900,1800,400
impunity,30900,1600,9500
companions,55000,2600,600
dose,59800,1800,600
diffident,56600,1700,700
diminution,37700,500,700
Park,73800,2400,400
abiding,37000,2000,700
meanly,70300,3000,600
paying,62500,4000,600
colouring,55900,2700,600
hastily,43000,800,800
else,69700,1400,300
twice,69500,2500,500
stirring,61800,1000,600
blush,80300,3100,600
happiest,77200,1200,700
injunctions,31400,1500,900
unjust,56100,2700,600
miniatures,29500,1000,800
thorough,65900,1600,500
eager,59600,1500,400
burying,63500,1800,600
excite,57800,2800,700
engaged,73300,1500,500
manoeuvre,58600,3000,9800
earlier,58900,2400,400
symptom,46600,2000,900
glass,23900,600,800
derivative,11800,500,1000
shrug,4800,300,1100
narrowly,51600,3500,900
wished,75600,3300,700
happier,31300,1100,800
seriously,58600,2100,800
swelling,45500,1000,1300
dreadful,60300,2400,500
of,70100,2700,100
this,72100,3500,300
creatures,60700,1400,500
18th,60100,1000,300
signify,36300,1300,900
bid,58600,2800,500
has,68300,1400,600
tens,32000,1000,1000
tricks,15400,800,1200
Tis,11700,600,700
form,62100,1700,500
truth,73100,1900,300
could,96100,2400,500
Lizzy,89900,3300,400
zip,6300,400,800
muslins,15200,500,600
visit,69200,1300,400
46,24600,900,800
posterity,58900,2700,700
ordained,40900,2200,500
pack,66000,1200,600
gallant,69100,1500,500
stupider,71100,800,600
Haye,17300,1300,300
whisper,64900,1000,500
bordering,64200,2800,500
enabled,69700,2100,400
30,46900,900,300
awed,59000,2500,400
irritable,61800,2800,800
bring,89400,2900,400
substitute,30900,2000,700
begin,67000,1100,500
weighed,39800,1000,700
undone,64500,2000,600
explore,28300,1800,900
avoiding,60700,1500,500
sanguine,22000,700,600
assiduously,7100,400,600
offering,61400,1500,500
conference,56900,1100,800
Bingleys,59500,3900,300
controverted,47600,2100,700
interval,60900,2400,900
teaching,32900,600,800
tiresome,74000,1400,300
learned,54700,2300,800
officers,68400,2300,400
ensign,67700,2100,400
overcome,65400,2400,400
shortness,54100,1100,700
suddenness,56300,2400,500
airing,18300,400,400
utterly,59600,1500,600
spiritless,19600,800,800
cost,70300,2400,200
criticisms,25100,800,700
patience,65700,3500,600
darling,7100,500,800
loud,54200,1500,800
then,69600,2000,500
liveliness,58700,1500,600
regrets,61200,1200,700
refusal,82700,2000,800
departure,75900,1200,600
informs,20200,500,900
measures,43600,1000,1200
wretchedness,61400,3600,700
senses,49400,1600,900
disliked,66900,2000,700
coat,68900,2100,500
constitution,59500,2500,400
sentiments,67400,3100,600
smirks,14300,500,1000
pool,57400,2900,600
courage,56000,2300,500
lose,67500,1700,600
November,62700,2400,400
pressing,68600,2200,400
repeatedly,63900,1600,600
inflexibly,62500,1500,700
sports,45900,1300,900
abusing,67700,1400,400
beforehand,66800,1300,500
misled,41600,2700,800
carefully,55000,1600,700
guess,67900,1500,400
hence,33900,800,1000
sunk,54600,2100,1200
hackney,24800,400,700
northward,12900,600,800
present,69000,800,600
farima,75600,3000,600
petticoat,66300,2100,500
silently,101500,3600,1000
disbelieving,72800,1900,600
contain,74400,1800,300
will,70600,1700,500
restless,33900,1000,800
hoped,69800,1700,500
greatly,71000,2500,600
perfect,71600,1600,500
barbarous,11900,400,1000
defer,59900,2200,500
notions,61900,1100,500
unequal,42700,2800,900
bows,59000,2900,600
jealousy,63800,2200,600
tidings,56000,1500,600
refreshment,59100,800,700
carried,65900,1200,500
genuine,57300,2400,400
beautiful,71000,1600,300
damage,3300,200,700
their,71400,3100,400
favourites,22200,800,800
disagreement,58300,1900,700
obsolete,1800,200,700
are,67200,1900,300
prevailed,64900,3200,600
complain,58400,700,600
valued,55800,1600,700
there,71700,3300,500
admittance,17300,1100,700
hers,52700,1000,600
extort,67100,1600,500
instructing,50200,1800,800
glancing,68800,1000,400
chaperon,35600,500,500
overcame,56500,2000,600
fetch,64600,1500,500
goals,1700,300,500
spots,27400,600,800
newcomers,72600,1800,300
charity,8800,300,600
to,64800,1100,300
ASCII,4300,300,500
spiteful,16100,600,900
tolerable,68900,2000,500
return,72600,1100,300
meadows,51000,1400,600
resent,61400,800,1000
Jenkinson,58000,1200,400
immoral,39100,1200,800
involuntary,25100,600,900
bitterly,64100,1300,500
lock,32200,700,1400
arrangement,47100,1200,600
manner,73000,2300,400
entering,74500,1600,200
rooted,43700,1900,700
dissatisfied,64700,1500,600
month,62900,1800,600
scenes,58600,2800,600
pursue,57800,1000,700
possibility,62600,1300,500
will,70700,1100,400
except,65000,800,500
favourable,70100,1400,400
cleanse,55300,3000,800
illustration,80300,1400,900
discouraged,77000,1200,600
disturbance,43100,1500,900
Hursts,67100,1900,400
relations,66300,1500,700
sized,47600,1100,800
officer,62100,2600,400
justify,64300,2500,600
foretold,49500,1900,1100
comes,72500,1600,400
exerting,25500,800,1200
property,73900,2000,400
mercenary,52500,1100,700
puzzled,11600,600,800
forming,59200,1800,500
injunction,57400,1000,800
accept,73500,1700,500
window,71600,1100,400
benefits,13600,300,1000
fluttered,41400,1100,700
hint,64100,700,400
attribute,60400,3500,700
Hill,60300,1600,400
impassable,17100,900,700
hermitage,10000,300,700
tempered,56500,1200,600
flaming,27600,900,500
changing,58900,1100,600
learn,65800,2300,500
lost,63300,1200,600
arose,58300,1000,400
indulging,56800,900,900
glove,16200,300,700
hold,57000,1600,2000
angrily,86300,1400,400
flattering,77300,1100,500
endeavours,43600,2100,700
acceding,18100,500,900
increase,59300,1200,600
